side,level,entry_idx,entry_date,entry_price,exit_idx,exit_date,exit_price,qty,pnl,pnl_pct,exit_reason,sl_price,tp_price
SELL,254.73,23,2020-02-06 00:00:00,252.11,26,2020-02-11 00:00:00,257.42,112.99,-628.79,-2.11,SL,257.42,241.49
SELL,253.46,29,2020-02-14 00:00:00,251.75,37,2020-02-27 00:00:00,242.46,126.6,1144.83,3.69,TP,256.39,242.46
BUY,182.49,59,2020-03-31 00:00:00,187.21,69,2020-04-14 00:00:00,197.37,43.44,432.99,5.43,TIMEOUT,173.16,215.3
SELL,192.63,70,2020-04-15 00:00:00,186.07,72,2020-04-17 00:00:00,192.68,93.64,-636.71,-3.55,SL,192.68,172.85
SELL,192.63,73,2020-04-20 00:00:00,189.32,80,2020-04-29 00:00:00,195.54,97.47,-625.0,-3.29,SL,195.54,176.87
SELL,196.43,82,2020-05-04 00:00:00,193.69,92,2020-05-19 00:00:00,189.0,109.75,493.73,2.42,TIMEOUT,199.1,182.87
BUY,192.63,93,2020-05-20 00:00:00,193.98,95,2020-05-22 00:00:00,189.65,139.4,-630.36,-2.23,SL,189.65,202.64
BUY,188.83,96,2020-05-25 00:00:00,191.0,99,2020-05-28 00:00:00,199.65,136.81,1156.67,4.53,TP,186.68,199.65
BUY,200.23,101,2020-06-01 00:00:00,203.66,103,2020-06-03 00:00:00,213.93,119.48,1202.15,5.04,TP,198.52,213.93
SELL,212.9,109,2020-06-11 00:00:00,208.35,119,2020-06-29 00:00:00,205.8,99.72,233.63,1.22,TIMEOUT,214.75,195.55
SELL,205.3,120,2020-06-30 00:00:00,203.22,121,2020-07-02 00:00:00,208.34,125.56,-668.7,-2.52,SL,208.34,192.97
BUY,212.9,123,2020-07-06 00:00:00,214.61,125,2020-07-08 00:00:00,209.7,128.21,-656.69,-2.29,SL,209.7,224.43
SELL,211.64,126,2020-07-09 00:00:00,209.11,128,2020-07-13 00:00:00,213.76,132.55,-644.38,-2.22,SL,213.76,199.81
BUY,207.84,129,2020-07-14 00:00:00,209.5,134,2020-07-21 00:00:00,219.01,126.78,1178.5,4.54,TP,204.74,219.01
BUY,214.17,137,2020-07-24 00:00:00,215.97,143,2020-08-03 00:00:00,226.8,115.9,1229.57,5.01,TP,210.56,226.8
BUY,226.84,149,2020-08-11 00:00:00,232.65,151,2020-08-13 00:00:00,243.46,120.45,1273.38,4.65,TP,227.24,243.46
SELL,239.52,156,2020-08-20 00:00:00,232.48,165,2020-09-02 00:00:00,221.05,118.58,1328.49,4.92,TP,238.19,221.05
SELL,220.51,166,2020-09-03 00:00:00,218.32,168,2020-09-07 00:00:00,223.9,126.11,-731.55,-2.56,SL,223.9,207.16
SELL,220.51,169,2020-09-08 00:00:00,217.68,172,2020-09-11 00:00:00,223.12,126.66,-716.95,-2.5,SL,223.12,206.79
BUY,225.58,173,2020-09-14 00:00:00,227.37,183,2020-09-28 00:00:00,228.63,141.45,145.97,0.55,TIMEOUT,222.6,236.9
SELL,226.84,184,2020-09-29 00:00:00,225.48,185,2020-09-30 00:00:00,229.95,151.59,-712.14,-1.98,SL,229.95,216.55
SELL,229.38,186,2020-10-01 00:00:00,227.23,187,2020-10-02 00:00:00,218.19,146.76,1294.06,3.98,TP,231.75,218.19
BUY,209.1,189,2020-10-06 00:00:00,211.18,192,2020-10-09 00:00:00,205.6,123.52,-715.0,-2.64,SL,205.6,222.34
BUY,204.03,193,2020-10-12 00:00:00,206.18,197,2020-10-16 00:00:00,200.75,124.3,-700.25,-2.63,SL,200.75,217.04
BUY,200.23,198,2020-10-19 00:00:00,202.78,202,2020-10-23 00:00:00,213.31,125.66,1297.01,5.19,TP,197.52,213.31
SELL,212.9,203,2020-10-26 00:00:00,211.1,205,2020-10-28 00:00:00,202.57,161.24,1342.04,4.04,TP,215.36,202.57
